Gender;Age;Height;Weight;family_history_with_overweight;FAVC;FCVC;NCP;CAEC;SMOKE;CH2O;SCC;FAF;TUE;CALC;MTRANS;NObeyesdad
Female;24;177;7600;no;no;200;300;Sometimes;no;300;no;100;1000;Sometimes;Walking;Normal_Weight
Male;39;179;9000;no;no;200;100;Sometimes;no;200;no;0;0;Sometimes;Public_Transportation;Overweight_Level_II
Male;22;165;6200;no;yes;200;400;Frequently;no;200;no;200;0;Sometimes;Public_Transportation;Normal_Weight
Female;21;150;6500;yes;no;200;300;Sometimes;no;200;no;200;2000;Sometimes;Public_Transportation;Overweight_Level_II
Female;22;156;4900;no;yes;200;300;Sometimes;no;100;yes;200;0;no;Walking;Normal_Weight
Female;21;160;4800;no;yes;200;300;Sometimes;no;100;no;100;0;Sometimes;Public_Transportation;Normal_Weight
Male;23;165;6700;yes;yes;200;300;Sometimes;no;200;no;100;1000;Sometimes;Public_Transportation;Normal_Weight
Female;21;175;8800;yes;yes;200;300;Sometimes;no;300;no;300;0;Sometimes;Public_Transportation;Overweight_Level_II
Female;21;167;7500;yes;yes;200;300;Sometimes;no;200;no;100;0;Sometimes;Public_Transportation;Overweight_Level_I
Male;23;168;6000;no;no;200;400;Frequently;no;200;no;0;0;no;Walking;Normal_Weight
Female;21;166;6400;yes;yes;100;300;Sometimes;no;100;no;0;0;no;Public_Transportation;Normal_Weight
Male;21;166;6200;yes;yes;200;300;Sometimes;yes;200;no;100;1000;Frequently;Public_Transportation;Normal_Weight
Male;21;181;8000;no;no;100;300;no;no;200;no;200;0;no;Public_Transportation;Normal_Weight
Female;21;153;6500;yes;no;200;300;Sometimes;no;100;no;0;1000;no;Public_Transportation;Overweight_Level_II
Male;21;182;7200;yes;yes;100;300;Frequently;no;300;no;200;0;Sometimes;Public_Transportation;Normal_Weight
Male;21;175;7200;yes;yes;100;300;Frequently;no;300;no;200;0;Sometimes;Public_Transportation;Normal_Weight
Female;20;166;6000;yes;no;300;300;Sometimes;no;200;no;100;0;Sometimes;Walking;Normal_Weight
Female;21;155;5000;no;yes;200;300;Sometimes;no;200;no;0;0;Sometimes;Public_Transportation;Normal_Weight
Female;21;161;5450;yes;yes;300;300;Sometimes;no;300;no;0;1000;Sometimes;Walking;Normal_Weight
Female;20;150;4400;no;yes;200;300;Sometimes;no;100;no;0;0;Sometimes;Automobile;Normal_Weight
Female;23;164;5200;no;yes;300;100;Sometimes;no;200;no;200;2000;no;Public_Transportation;Normal_Weight
Female;23;163;5500;yes;no;300;300;no;no;200;yes;200;1000;no;Public_Transportation;Normal_Weight
Female;22;160;5500;no;no;300;400;Always;no;300;no;200;0;no;Public_Transportation;Normal_Weight
Male;23;168;6200;no;no;200;400;Frequently;no;200;no;0;0;Sometimes;Automobile;Normal_Weight
Male;22;170;7000;yes;yes;200;300;Sometimes;no;100;no;0;1000;Sometimes;Automobile;Normal_Weight
Male;21;164;6500;yes;no;200;300;Sometimes;no;100;no;0;1000;no;Public_Transportation;Normal_Weight
Female;17;165;6700;yes;yes;300;100;Sometimes;no;200;no;100;1000;no;Walking;Normal_Weight
Male;20;176;5500;yes;yes;200;400;Sometimes;no;300;no;200;2000;no;Public_Transportation;Insufficient_Weight
Female;21;155;4900;yes;yes;200;300;Sometimes;no;300;no;300;1000;Sometimes;Public_Transportation;Normal_Weight
Male;20;165;5800;no;yes;200;300;Sometimes;no;200;no;300;1000;Sometimes;Public_Transportation;Normal_Weight
Male;22;167;6200;no;yes;200;100;no;no;200;no;0;0;Sometimes;Public_Transportation;Normal_Weight
Male;22;168;5500;yes;yes;200;300;Sometimes;no;200;no;0;2000;Sometimes;Automobile;Normal_Weight
Female;21;166;5700;yes;yes;200;300;Frequently;no;100;no;100;1000;no;Public_Transportation;Normal_Weight
Female;21;162;6900;yes;yes;100;300;Frequently;no;200;no;0;1000;no;Public_Transportation;Overweight_Level_I
Male;23;180;9000;yes;yes;100;300;Always;no;200;no;0;2000;Frequently;Public_Transportation;Overweight_Level_II
Male;23;165;9500;yes;yes;200;300;Always;no;200;no;0;1000;Frequently;Automobile;Obesity_Type_I
Male;30;176;11200;yes;yes;100;300;no;yes;200;yes;0;0;Frequently;Automobile;Obesity_Type_II
Male;23;180;6000;yes;no;200;300;no;no;300;no;0;1000;Sometimes;Public_Transportation;Normal_Weight
Female;23;165;8000;yes;yes;200;300;Always;no;200;no;0;2000;no;Public_Transportation;Overweight_Level_II
Female;22;167;5000;yes;no;300;300;no;no;300;yes;200;1000;Sometimes;Public_Transportation;Insufficient_Weight
Female;24;165;6000;yes;no;200;300;Sometimes;no;300;yes;100;0;no;Public_Transportation;Normal_Weight
Male;19;185;6500;yes;no;200;300;Sometimes;no;300;no;200;1000;Sometimes;Bike;Normal_Weight
Male;24;170;8500;yes;yes;200;300;Frequently;no;300;no;0;1000;Frequently;Public_Transportation;Overweight_Level_II
Female;23;163;4500;yes;no;300;300;Sometimes;no;300;yes;200;0;no;Public_Transportation;Insufficient_Weight
Female;24;160;4500;yes;no;200;300;no;no;200;no;100;0;no;Public_Transportation;Insufficient_Weight
Female;24;170;8000;yes;yes;200;300;Sometimes;no;300;no;0;0;no;Public_Transportation;Overweight_Level_II
Female;23;165;9000;yes;yes;200;300;Sometimes;no;300;no;0;1000;no;Public_Transportation;Obesity_Type_I
Male;23;165;6000;yes;no;200;300;Sometimes;no;200;no;0;0;Sometimes;Public_Transportation;Normal_Weight
Female;19;163;5800;no;no;300;300;Sometimes;no;200;yes;0;0;no;Public_Transportation;Normal_Weight
Male;30;180;9100;yes;yes;200;300;Frequently;no;200;no;0;0;Sometimes;Public_Transportation;Overweight_Level_II
Male;23;167;8550;yes;yes;200;300;Always;no;200;no;0;1000;no;Public_Transportation;Obesity_Type_I
Female;19;160;4500;no;no;300;300;no;no;300;yes;200;0;no;Walking;Insufficient_Weight
Male;25;170;8300;yes;yes;200;300;Frequently;no;200;no;0;1000;Sometimes;Public_Transportation;Overweight_Level_II
Male;23;165;5850;yes;no;200;300;Sometimes;no;200;no;0;0;no;Public_Transportation;Normal_Weight
Male;21;185;8300;yes;yes;200;100;Frequently;no;300;no;100;0;no;Public_Transportation;Normal_Weight
Male;19;182;8700;yes;yes;200;300;Sometimes;no;200;no;0;0;no;Public_Transportation;Overweight_Level_I
Female;22;165;6500;yes;yes;200;300;Frequently;no;200;yes;100;0;no;Automobile;Normal_Weight
Female;29;170;7800;yes;yes;300;300;Sometimes;no;100;no;200;1000;Frequently;Automobile;Overweight_Level_II
Female;25;163;9300;no;no;300;400;Always;no;100;no;200;0;no;Public_Transportation;Obesity_Type_II
Female;20;161;6400;yes;no;300;300;Always;no;200;yes;0;1000;Frequently;Public_Transportation;Normal_Weight
Male;55;178;8400;yes;no;300;400;Frequently;no;300;yes;300;0;Frequently;Walking;Overweight_Level_I
Female;20;160;5700;no;no;300;300;Always;no;200;no;100;0;no;Walking;Normal_Weight
Female;24;160;4800;no;yes;300;300;Sometimes;no;200;no;200;0;no;Public_Transportation;Normal_Weight
Male;26;170;7000;yes;no;300;100;Frequently;no;200;no;200;0;Frequently;Public_Transportation;Normal_Weight
Female;23;166;6000;yes;no;200;300;Sometimes;no;200;no;300;0;Sometimes;Public_Transportation;Normal_Weight
Female;21;152;4200;no;no;300;100;Frequently;no;100;no;0;0;Sometimes;Public_Transportation;Insufficient_Weight
Female;21;152;4200;no;no;300;100;Frequently;no;100;no;0;0;Sometimes;Public_Transportation;Insufficient_Weight
Male;23;172;7000;no;no;200;300;Sometimes;no;200;no;300;1000;Frequently;Public_Transportation;Normal_Weight
Female;21;169;6300;no;yes;300;100;Sometimes;no;100;no;0;0;Sometimes;Public_Transportation;Normal_Weight
Male;22;170;6640;yes;no;200;300;Frequently;no;200;no;0;0;no;Public_Transportation;Normal_Weight
Female;21;155;5700;no;yes;200;400;Frequently;no;200;yes;200;0;Sometimes;Automobile;Normal_Weight
Female;22;165;5800;yes;yes;300;400;Frequently;no;200;no;100;0;Sometimes;Public_Transportation;Normal_Weight
Female;38;156;8000;yes;yes;200;300;Sometimes;no;200;no;0;0;Sometimes;Automobile;Obesity_Type_I
Female;25;157;5500;no;yes;200;100;Sometimes;no;200;no;200;0;Sometimes;Public_Transportation;Normal_Weight
Female;25;157;5500;no;yes;200;100;Sometimes;no;200;no;200;0;Sometimes;Public_Transportation;Normal_Weight
Male;22;188;9000;yes;yes;200;300;Always;no;100;no;0;1000;Sometimes;Automobile;Overweight_Level_I
Male;22;175;9500;yes;no;200;300;Sometimes;no;300;no;300;2000;no;Walking;Obesity_Type_I
Female;21;165;8800;yes;yes;300;100;Sometimes;no;300;no;200;1000;no;Public_Transportation;Obesity_Type_I
Male;21;175;7500;yes;yes;300;300;Sometimes;no;200;no;0;1000;Sometimes;Public_Transportation;Normal_Weight
Female;22;158;5800;yes;yes;200;100;Sometimes;no;100;no;0;0;no;Public_Transportation;Normal_Weight
Female;18;156;5100;yes;yes;200;400;Frequently;no;200;no;100;0;Sometimes;Public_Transportation;Normal_Weight
Female;22;150;4900;yes;no;200;100;Sometimes;no;200;no;300;0;no;Walking;Normal_Weight
Female;19;161;6200;yes;yes;300;100;Frequently;no;200;no;100;0;Frequently;Public_Transportation;Normal_Weight
Female;17;175;5700;yes;yes;300;300;Frequently;no;200;no;0;1000;no;Public_Transportation;Normal_Weight
Female;15;165;8600;yes;yes;300;300;Sometimes;no;100;no;300;2000;no;Walking;Obesity_Type_I
Female;17;170;8500;yes;no;200;300;Frequently;no;200;no;100;1000;no;Public_Transportation;Overweight_Level_II
Male;23;162;5300;yes;yes;200;300;Sometimes;no;200;no;100;1000;Sometimes;Public_Transportation;Normal_Weight
Female;19;163;7600;yes;no;300;300;Frequently;yes;300;no;200;1000;Sometimes;Automobile;Overweight_Level_II
Female;23;167;7500;yes;yes;200;300;Frequently;yes;200;no;0;2000;no;Walking;Overweight_Level_I
Male;23;187;9500;yes;yes;100;300;Frequently;no;200;no;0;2000;Frequently;Public_Transportation;Overweight_Level_II
Male;21;175;5000;yes;no;300;400;Frequently;no;100;no;100;0;no;Walking;Insufficient_Weight
Male;24;166;6700;yes;yes;300;100;Sometimes;no;200;no;100;0;no;Public_Transportation;Normal_Weight
Male;23;176;9000;no;yes;300;300;Sometimes;no;100;no;0;0;no;Public_Transportation;Overweight_Level_II
Male;18;175;8000;yes;yes;200;300;Always;no;200;no;0;0;Frequently;Public_Transportation;Overweight_Level_I
Male;19;167;6800;no;yes;200;300;Sometimes;no;200;no;100;0;Sometimes;Public_Transportation;Normal_Weight
Female;19;165;6100;no;yes;300;100;Sometimes;no;300;yes;100;0;Sometimes;Public_Transportation;Normal_Weight
Male;20;172;7000;yes;yes;300;300;Frequently;no;100;no;0;0;Sometimes;Public_Transportation;Normal_Weight
Male;27;170;7800;no;yes;300;300;Sometimes;no;300;no;100;1000;Frequently;Public_Transportation;Overweight_Level_II
Female;20;158;5300;yes;yes;200;400;Frequently;no;200;no;100;1000;no;Public_Transportation;Normal_Weight
Male;23;162;5800;no;no;200;300;Sometimes;no;100;no;100;0;no;Public_Transportation;Normal_Weight
Female;19;165;5600;yes;yes;300;300;Frequently;yes;300;yes;100;2000;Frequently;Public_Transportation;Normal_Weight
Female;61;165;6600;no;yes;300;300;Always;no;200;no;100;1000;Frequently;Public_Transportation;Normal_Weight
Male;30;177;10900;yes;yes;300;300;Sometimes;no;100;no;200;0;Sometimes;Automobile;Obesity_Type_I
Male;24;170;7500;yes;yes;200;300;Sometimes;no;200;no;100;0;Sometimes;Automobile;Overweight_Level_I
Male;25;179;7200;yes;yes;200;300;Sometimes;no;200;no;100;1000;Sometimes;Public_Transportation;Normal_Weight
Male;44;160;8000;yes;no;200;300;Sometimes;yes;300;no;0;0;no;Motorbike;Obesity_Type_I
Male;31;176;7500;yes;no;300;300;Always;no;300;yes;300;0;no;Bike;Normal_Weight
Male;25;170;6800;no;yes;200;300;Frequently;no;200;no;0;1000;no;Public_Transportation;Normal_Weight
Male;23;189;6500;yes;yes;300;300;Frequently;no;300;no;100;1000;Sometimes;Public_Transportation;Insufficient_Weight
Male;25;187;6600;no;yes;300;300;Always;no;200;no;200;0;Frequently;Public_Transportation;Normal_Weight
Male;23;174;9350;no;yes;200;300;Frequently;yes;100;no;100;1000;Frequently;Automobile;Obesity_Type_I
Female;34;168;7500;no;yes;300;100;Sometimes;no;100;no;0;0;Sometimes;Automobile;Overweight_Level_I
Male;22;161;6700;yes;no;200;400;Sometimes;no;300;yes;200;2000;Sometimes;Public_Transportation;Overweight_Level_I
Male;21;162;7000;no;yes;200;100;no;no;300;no;100;0;Sometimes;Public_Transportation;Overweight_Level_I
Female;24;156;5100;no;no;300;300;Frequently;no;200;no;200;2000;Frequently;Public_Transportation;Normal_Weight
Female;36;163;8000;yes;no;300;300;Sometimes;no;100;no;0;0;Sometimes;Automobile;Obesity_Type_I
Female;27;160;6100;no;yes;300;300;Always;no;200;no;0;0;Sometimes;Automobile;Normal_Weight
Female;32;167;9000;yes;yes;300;100;Sometimes;no;200;no;200;0;Sometimes;Automobile;Obesity_Type_I
Male;25;178;7800;yes;yes;200;100;Sometimes;no;200;no;200;1000;Sometimes;Public_Transportation;Normal_Weight
Female;30;162;5900;yes;yes;300;300;Sometimes;no;200;no;200;0;Sometimes;Automobile;Normal_Weight
Female;38;150;6000;yes;yes;200;100;Always;yes;200;no;0;0;Sometimes;Automobile;Overweight_Level_I
Male;34;169;8400;yes;no;200;300;Sometimes;no;300;no;200;0;no;Automobile;Overweight_Level_II
Male;22;174;9400;yes;yes;200;300;Sometimes;no;200;no;0;0;Sometimes;Public_Transportation;Obesity_Type_I
Female;31;168;6300;yes;yes;300;100;Frequently;no;200;no;100;1000;Sometimes;Automobile;Normal_Weight
Female;35;153;4500;yes;no;300;300;Frequently;no;100;no;0;1000;no;Automobile;Normal_Weight
Male;21;167;6000;yes;yes;200;300;Frequently;no;200;no;200;1000;Sometimes;Public_Transportation;Normal_Weight
Female;40;155;6200;yes;no;300;300;Sometimes;no;300;no;0;0;Sometimes;Automobile;Overweight_Level_I
Male;27;164;7800;yes;yes;200;100;Sometimes;no;200;no;0;0;Frequently;Automobile;Overweight_Level_II
Male;20;183;7200;yes;no;300;300;Sometimes;yes;100;no;200;1000;Sometimes;Public_Transportation;Normal_Weight
Male;55;165;8000;no;yes;200;300;Sometimes;no;200;no;100;0;no;Automobile;Overweight_Level_II
Female;21;163;6000;yes;yes;300;300;Always;yes;200;no;200;0;Sometimes;Public_Transportation;Normal_Weight
Male;25;189;7500;no;no;300;300;Frequently;no;200;yes;300;0;no;Public_Transportation;Normal_Weight
Male;35;177;8500;yes;no;300;300;Frequently;no;300;no;200;1000;Sometimes;Automobile;Overweight_Level_II
Male;30;192;13000;yes;no;200;300;Sometimes;yes;100;no;100;0;Sometimes;Public_Transportation;Obesity_Type_II
Female;29;174;7200;yes;no;300;300;Always;no;200;no;0;0;Sometimes;Automobile;Normal_Weight
Male;20;165;8000;yes;no;200;300;Sometimes;no;200;no;100;2000;no;Walking;Overweight_Level_II
Female;22;173;7900;yes;yes;200;100;Sometimes;no;200;no;100;0;Sometimes;Public_Transportation;Overweight_Level_I
Female;45;163;7700;yes;yes;200;300;Frequently;no;100;no;0;0;no;Automobile;Overweight_Level_II
Male;22;172;8200;no;yes;200;100;Sometimes;no;200;no;200;1000;Sometimes;Public_Transportation;Overweight_Level_II
Male;18;160;5800;yes;yes;200;300;Frequently;no;200;no;100;0;Sometimes;Public_Transportation;Normal_Weight
Female;23;165;5900;no;no;300;100;Sometimes;no;200;no;100;2000;Sometimes;Public_Transportation;Normal_Weight
Male;18;174;6400;no;no;300;300;Sometimes;no;200;yes;0;1000;no;Public_Transportation;Normal_Weight
Male;21;162;7000;no;yes;200;100;no;no;300;no;100;0;Sometimes;Public_Transportation;Overweight_Level_I
Female;38;164;5980;yes;yes;200;300;Sometimes;no;200;no;200;0;no;Public_Transportation;Normal_Weight
Female;18;157;4800;yes;yes;300;100;Always;no;100;no;100;0;no;Public_Transportation;Normal_Weight
Male;22;184;8400;yes;yes;300;300;Frequently;no;200;yes;300;0;Sometimes;Public_Transportation;Normal_Weight
Male;26;191;8400;yes;yes;300;300;Frequently;yes;200;no;200;2000;Frequently;Public_Transportation;Normal_Weight
Male;21;162;7000;no;yes;200;100;no;no;300;no;100;0;Sometimes;Public_Transportation;Overweight_Level_I
Female;18;158;4800;no;yes;200;300;Sometimes;no;200;no;100;0;no;Public_Transportation;Normal_Weight
Female;23;168;6700;yes;yes;200;300;Frequently;no;100;no;0;0;Sometimes;Public_Transportation;Normal_Weight
Female;22;168;5200;no;yes;300;300;Frequently;no;200;no;0;1000;no;Public_Transportation;Insufficient_Weight
Female;23;148;6000;yes;yes;200;100;Sometimes;yes;100;no;0;0;Sometimes;Public_Transportation;Overweight_Level_II
Male;21;162;7000;no;yes;200;100;no;no;300;no;100;0;Sometimes;Public_Transportation;Overweight_Level_I
Female;31;162;6800;no;no;300;300;Sometimes;no;200;no;100;0;Sometimes;Automobile;Overweight_Level_I
Male;39;178;9600;yes;no;200;300;Sometimes;no;300;no;100;0;Frequently;Automobile;Obesity_Type_I
Male;25;178;9800;yes;no;200;300;Sometimes;no;300;no;300;2000;no;Public_Transportation;Obesity_Type_I
Male;35;178;10500;yes;yes;300;100;no;no;300;no;300;1000;Frequently;Automobile;Obesity_Type_I
Female;33;163;6200;yes;yes;200;300;Sometimes;no;200;no;100;1000;no;Public_Transportation;Normal_Weight
Male;20;160;5600;no;yes;200;300;Sometimes;no;200;no;100;0;Sometimes;Public_Transportation;Normal_Weight
Male;26;175;8000;yes;yes;300;100;Frequently;yes;200;yes;200;0;Sometimes;Public_Transportation;Overweight_Level_I
Male;20;183;8500;yes;no;300;300;Sometimes;no;300;yes;300;0;Sometimes;Automobile;Overweight_Level_I
Male;20;178;6800;no;no;200;100;Frequently;no;300;yes;200;1000;no;Public_Transportation;Normal_Weight
Female;23;160;8300;yes;yes;300;300;Frequently;no;300;no;300;0;no;Public_Transportation;Obesity_Type_I
Male;19;180;8500;yes;yes;300;300;Sometimes;no;200;no;100;1000;Sometimes;Walking;Overweight_Level_I
Male;22;175;7400;yes;no;200;300;Sometimes;no;200;no;100;2000;Sometimes;Bike;Normal_Weight
Male;41;175;11800;yes;yes;200;300;Sometimes;no;200;no;0;0;Sometimes;Bike;Obesity_Type_II
Female;18;159;4000;yes;yes;200;100;Frequently;no;100;no;0;2000;no;Public_Transportation;Insufficient_Weight
Female;23;166;6000;yes;yes;200;100;Sometimes;no;100;no;100;1000;Sometimes;Public_Transportation;Normal_Weight
Female;23;163;8300;yes;no;300;100;Sometimes;yes;300;no;100;2000;Sometimes;Public_Transportation;Obesity_Type_I
Female;41;154;8000;yes;yes;200;300;Always;no;100;no;0;0;Sometimes;Automobile;Obesity_Type_I
Female;26;156;10200;yes;yes;300;300;Sometimes;yes;100;no;0;1000;Sometimes;Public_Transportation;Obesity_Type_III
Male;29;169;9000;yes;no;200;300;Sometimes;no;300;no;100;0;Sometimes;Automobile;Obesity_Type_I
Male;27;183;7100;yes;yes;200;300;Sometimes;no;200;no;300;2000;no;Automobile;Normal_Weight
Female;23;160;7800;yes;yes;200;100;Sometimes;yes;200;no;100;0;Frequently;Public_Transportation;Obesity_Type_I
Male;19;175;10000;yes;yes;200;300;Frequently;no;200;no;200;0;no;Public_Transportation;Obesity_Type_I
Male;30;175;7300;yes;no;200;300;no;no;200;yes;100;0;Sometimes;Walking;Normal_Weight
Female;22;169;6500;yes;yes;200;300;Sometimes;no;200;no;100;1000;Sometimes;Public_Transportation;Normal_Weight
Female;22;169;6500;yes;yes;200;300;Sometimes;no;200;no;100;1000;Sometimes;Public_Transportation;Normal_Weight
Male;20;180;11400;yes;yes;200;300;Frequently;no;200;no;0;1000;no;Public_Transportation;Obesity_Type_II
Female;21;163;5100;no;yes;200;100;Sometimes;no;100;no;100;1000;no;Public_Transportation;Normal_Weight
Female;24;150;6300;yes;no;200;100;Sometimes;no;200;no;0;0;no;Public_Transportation;Overweight_Level_II
Male;21;180;6200;yes;yes;300;300;Sometimes;no;200;no;100;0;no;Public_Transportation;Normal_Weight
Male;21;165;5300;yes;yes;200;300;Sometimes;no;200;no;100;0;Sometimes;Public_Transportation;Normal_Weight
Male;21;168;7000;yes;yes;300;300;Sometimes;no;300;no;0;2000;Sometimes;Public_Transportation;Normal_Weight
Female;23;160;6300;yes;no;300;300;Frequently;no;200;no;300;0;Sometimes;Walking;Normal_Weight
Male;21;171;7500;no;no;200;300;Frequently;no;300;yes;300;1000;Frequently;Automobile;Overweight_Level_I
Female;21;150;4230;yes;no;100;100;Sometimes;no;200;no;300;0;no;Public_Transportation;Normal_Weight
Female;21;160;6800;yes;yes;200;300;Sometimes;no;300;no;100;0;Sometimes;Public_Transportation;Overweight_Level_I
Female;21;175;7800;yes;no;200;300;Frequently;no;200;yes;0;2000;Frequently;Public_Transportation;Overweight_Level_I
Male;23;172;8200;yes;yes;200;100;Sometimes;no;100;no;100;1000;Sometimes;Public_Transportation;Overweight_Level_II
Female;21;172;6650;yes;yes;300;400;Always;no;300;no;0;2000;no;Public_Transportation;Normal_Weight
Female;22;161;6300;yes;yes;300;300;Frequently;no;300;no;100;0;no;Public_Transportation;Normal_Weight
Female;23;163;8200;yes;yes;200;100;Sometimes;no;200;no;0;0;no;Public_Transportation;Obesity_Type_I
Male;25;183;12100;yes;no;300;300;Sometimes;no;300;no;200;0;Sometimes;Walking;Obesity_Type_II
Female;20;160;5000;no;yes;200;300;Sometimes;no;100;no;0;1000;no;Automobile;Normal_Weight
Female;24;162;5800;no;yes;300;300;Sometimes;no;200;no;100;1000;Sometimes;Public_Transportation;Normal_Weight
Female;40;168;8000;no;no;300;300;Sometimes;no;300;no;0;0;no;Automobile;Overweight_Level_II
Male;32;175;12000;yes;no;300;300;Sometimes;no;300;no;0;2000;no;Automobile;Obesity_Type_II
Male;20;190;9100;yes;yes;300;400;Sometimes;no;300;no;200;0;Sometimes;Walking;Overweight_Level_I
Female;21;163;6600;yes;yes;300;100;Sometimes;yes;300;no;0;0;Sometimes;Public_Transportation;Normal_Weight
Female;51;159;5000;yes;no;300;300;Sometimes;yes;300;yes;200;0;no;Public_Transportation;Normal_Weight
Female;34;168;7700;yes;no;300;100;Sometimes;no;200;no;100;0;Sometimes;Automobile;Overweight_Level_II
Female;19;159;4900;yes;yes;200;100;no;no;200;no;200;0;no;Public_Transportation;Normal_Weight
Female;19;169;7000;yes;no;200;100;no;no;200;no;200;0;no;Public_Transportation;Normal_Weight
Female;21;166;5900;no;yes;100;300;Always;no;200;yes;300;0;no;Automobile;Normal_Weight
Female;19;164;5300;yes;yes;300;300;Sometimes;no;100;no;100;1000;no;Public_Transportation;Normal_Weight
Female;20;162;5300;no;yes;300;100;Sometimes;no;300;no;100;1000;no;Public_Transportation;Normal_Weight
Female;19;170;6400;yes;yes;300;300;no;no;300;yes;300;1000;no;Public_Transportation;Normal_Weight
Female;17;163;6500;no;yes;200;100;Sometimes;no;300;no;100;1000;no;Public_Transportation;Normal_Weight
Male;22;160;6600;no;yes;300;300;Sometimes;no;200;no;300;0;no;Bike;Overweight_Level_I
Female;20;163;6400;yes;yes;100;300;Always;no;200;no;0;2000;no;Automobile;Normal_Weight
Male;33;185;9900;yes;yes;200;300;Sometimes;yes;300;no;100;0;Sometimes;Automobile;Overweight_Level_II
Female;21;154;4900;yes;no;200;100;Sometimes;no;200;yes;200;0;Sometimes;Public_Transportation;Normal_Weight
Female;20;164;4900;no;no;300;300;Sometimes;yes;200;no;200;1000;Sometimes;Automobile;Insufficient_Weight
Female;20;157;6000;no;yes;300;300;Sometimes;no;300;no;0;1000;Sometimes;Public_Transportation;Normal_Weight
Female;20;162;5200;no;yes;300;300;Frequently;no;100;no;300;1000;no;Automobile;Normal_Weight
Male;21;172;7200;yes;yes;300;300;Always;no;300;yes;300;0;Sometimes;Automobile;Normal_Weight
Male;21;176;7800;yes;yes;300;100;Sometimes;no;200;no;300;0;Sometimes;Walking;Overweight_Level_I
